time,x,y,theta,cmd_vel_linear,cmd_vel_angular
2040839826,0.041771368731264615,4.538726285010914,1.5707963529597688,0.15,-1.831541057058175e-07
2074898839,0.04177138426906902,4.543826276135322,1.5707963524096977,0.15,-1.7930360816703949e-07
2109228912,0.04177140140386347,4.54892627791795,1.570796342266434,0.15,-1.0830076139652996e-07
2143241060,0.0417714213719371,4.554026290277901,1.570796328121767,0.15,-9.288092323496897e-09
2177217310,0.041771440703577176,4.5591263135557405,1.5707963207331317,0.15,4.243235429232638e-08
2211468321,0.0417714665685173,4.56422634539408,1.5707963176244326,0.15,6.419324769718778e-08
2245766825,0.04177149814542519,4.5693263522289485,1.5707963044023268,0.15,1.56747988974391e-07
2280111704,0.04177152807121553,4.574426355585395,1.570796295808842,0.15,2.1690238252755123e-07
2313872908,0.04177155900709139,4.579526355263373,1.570796305891002,0.15,1.4632726200837957e-07
2347983814,0.04177159524445491,4.584626333007598,1.5707963187022824,0.15,5.664829856500973e-08
2382422353,0.041771626344387504,4.589726323083628,1.5707963254204889,0.15,9.620853696256343e-09
2416678602,0.041771661082953826,4.594826317320629,1.570796337801079,0.15,-7.704327723071527e-08
2450661766,0.04177169529501518,4.599926316130403,1.5707963465360295,0.15,-1.3818793091093672e-07
2484754513,0.04177172823674704,4.605026323680055,1.5707963458947904,0.15,-1.3369925720214522e-07
2518791246,0.0417717596009688,4.610126341294913,1.5707963473654492,0.15,-1.4399386820564775e-07
2552902642,0.04177178497407434,4.615226368047584,1.570796353269488,0.15,-1.853221400293066e-07
2586898098,0.04177181314018197,4.620326373449459,1.570796345922395,0.15,-1.33892489101824e-07
2620939371,0.041771834494943115,4.625426379697468,1.57079634226748,0.15,-1.0830808394956232e-07
2654887474,0.04177185310884837,4.630526366127957,1.5707963510979797,0.15,-1.701215819708203e-07
2688877972,0.04177187173893098,4.635626347647883,1.570796359002786,0.15,-2.2545522649849525e-07
2722850241,0.04177188897250301,4.640726329477734,1.570796353501332,0.15,-1.8694504839060525e-07
2757050266,0.04177190025745662,4.645826325478583,1.5707963535776328,0.15,-1.8747915375928405e-07
2791332567,0.04177191604246082,4.650926330474052,1.5707963466007184,0.15,-1.386407528965919e-07
2825402615,0.04177193560868825,4.656026340318775,1.5707963322096061,0.15,-3.790296656484883e-08
2859638540,0.041771957945568844,4.661126356772963,1.5707963223229968,0.15,3.130329846457871e-08
2893762437,0.041771983517353714,4.666226377772557,1.5707963174816633,0.15,6.519263321157463e-08
2927835349,0.041772009910465493,4.671326390779474,1.5707963036886032,0.15,1.6174405366677973e-07
2961869219,0.04177203853181906,4.676426396183749,1.5707962974807557,0.15,2.0519898642967013e-07
2995884022,0.04177207402900476,4.681526376208318,1.5707963063719768,0.15,1.429604383369014e-07
